Category: All categories

Week,rootbeer: (United States)
2018-01-07,54
2018-01-14,68
2018-01-21,47
2018-01-28,65
2018-02-04,65
2018-02-11,62
2018-02-18,51
2018-02-25,63
2018-03-04,75
2018-03-11,66
2018-03-18,76
2018-03-25,77
2018-04-01,71
2018-04-08,70
2018-04-15,67
2018-04-22,65
2018-04-29,73
2018-05-06,85
2018-05-13,71
2018-05-20,80
2018-05-27,84
2018-06-03,84
2018-06-10,94
2018-06-17,82
2018-06-24,69
2018-07-01,100
2018-07-08,78
2018-07-15,81
2018-07-22,81
2018-07-29,89
2018-08-05,90
2018-08-12,72
2018-08-19,69
2018-08-26,72
2018-09-02,66
2018-09-09,61
2018-09-16,76
2018-09-23,60
2018-09-30,56
2018-10-07,47
2018-10-14,60
2018-10-21,48
2018-10-28,60
2018-11-04,55
2018-11-11,55
2018-11-18,54
2018-11-25,37
2018-12-02,50
2018-12-09,59
2018-12-16,53
2018-12-23,80
2018-12-30,56
