Category: All categories

Week,rootbeer: (United States)
2019-01-06,70
2019-01-13,56
2019-01-20,59
2019-01-27,56
2019-02-03,64
2019-02-10,63
2019-02-17,62
2019-02-24,55
2019-03-03,61
2019-03-10,65
2019-03-17,82
2019-03-24,77
2019-03-31,78
2019-04-07,83
2019-04-14,96
2019-04-21,66
2019-04-28,72
2019-05-05,73
2019-05-12,87
2019-05-19,81
2019-05-26,85
2019-06-02,86
2019-06-09,89
2019-06-16,83
2019-06-23,92
2019-06-30,85
2019-07-07,92
2019-07-14,99
2019-07-21,98
2019-07-28,91
2019-08-04,100
2019-08-11,82
2019-08-18,95
2019-08-25,86
2019-09-01,77
2019-09-08,70
2019-09-15,72
2019-09-22,61
2019-09-29,76
2019-10-06,68
2019-10-13,61
2019-10-20,60
2019-10-27,58
2019-11-03,70
2019-11-10,68
2019-11-17,75
2019-11-24,61
2019-12-01,48
2019-12-08,55
2019-12-15,68
2019-12-22,72
2019-12-29,73
