Category: All categories

Week,rootbeer: (United States)
2022-01-02,48
2022-01-09,62
2022-01-16,57
2022-01-23,58
2022-01-30,49
2022-02-06,49
2022-02-13,55
2022-02-20,59
2022-02-27,71
2022-03-06,77
2022-03-13,83
2022-03-20,71
2022-03-27,72
2022-04-03,68
2022-04-10,78
2022-04-17,66
2022-04-24,63
2022-05-01,78
2022-05-08,77
2022-05-15,75
2022-05-22,77
2022-05-29,82
2022-06-05,81
2022-06-12,93
2022-06-19,86
2022-06-26,100
2022-07-03,94
2022-07-10,87
2022-07-17,76
2022-07-24,85
2022-07-31,88
2022-08-07,79
2022-08-14,87
2022-08-21,72
2022-08-28,73
2022-09-04,83
2022-09-11,75
2022-09-18,73
2022-09-25,72
2022-10-02,80
2022-10-09,68
2022-10-16,91
2022-10-23,73
2022-10-30,66
2022-11-06,56
2022-11-13,47
2022-11-20,74
2022-11-27,51
2022-12-04,63
2022-12-11,67
2022-12-18,55
2022-12-25,68
